GAME_ID,DATE,HOMETEAM,AWAYTEAM,HOMESPREAD_ATOPEN,HOMESPREAD_ATCLOSE,OVER_ATOPEN,OVER_ATCLOSE,HOMEML,AWAYML,2H_HOMESPREAD,2H_OVER,WL_HOME,PLUS_MINUS_HOME
20700144,2007-11-18 00:00:00,LAL,CHI,-4.5,-5.5,195.5,198.0,1.434782608695652,2.9,-4.0,100.5,W,28.0
20700145,2007-11-19 00:00:00,CHA,POR,-5.0,-5.5,187.0,190.5,1.434782608695652,2.9,-2.5,97.5,W,9.0
20700146,2007-11-19 00:00:00,MEM,SEA,-6.0,-5.5,218.0,218.5,1.425531914893617,2.95,2.0,105.5,W,17.0
20700147,2007-11-19 00:00:00,NOH,ORL,0.0,-1.0,188.0,186.0,1.8333333333333333,2.0,-3.0,92.5,L,-7.0
20700148,2007-11-19 00:00:00,UTA,NJN,-11.0,-11.0,190.5,191.0,1.1428571428571428,6.5,-3.5,99.0,W,27.0
20700149,2007-11-20 00:00:00,WAS,PHI,-6.0,-5.0,191.0,183.5,1.434782608695652,2.9,3.0,93.5,W,15.0
20700151,2007-11-20 00:00:00,CLE,MIL,-6.5,-6.5,194.5,193.5,1.3448275862068966,3.4,-3.0,97.0,L,-4.0
20700152,2007-11-20 00:00:00,IND,LAL,2.0,1.5,207.0,207.5,2.05,1.8,-1.5,102.5,L,-20.0
20700150,2007-11-20 00:00:00,ATL,SAS,5.5,6.0,190.5,190.0,3.1,1.4,-2.0,94.5,L,-12.0
20700153,2007-11-20 00:00:00,NYK,GSW,0.0,1.0,219.0,220.0,2.0,1.8333333333333333,-3.0,104.5,L,-26.0
20700154,2007-11-20 00:00:00,DAL,TOR,-9.5,-8.5,196.5,197.0,1.2352941176470589,4.55,-9.0,97.5,W,6.0
20700155,2007-11-20 00:00:00,DEN,CHI,-6.0,-8.5,203.5,201.5,1.2222222222222223,4.7,2.0,101.0,W,21.0
20700156,2007-11-20 00:00:00,SAC,PHX,6.5,7.5,212.0,218.0,3.8,1.303030303030303,2.0,106.0,L,-2.0
20700157,2007-11-21 00:00:00,CHA,WAS,-4.5,-7.0,192.0,192.5,1.3333333333333333,3.5,-4.0,99.5,L,-3.0
20700158,2007-11-21 00:00:00,BOS,GSW,-9.0,-11.0,214.0,214.0,1.1219512195121952,7.2,-2.0,103.0,W,23.0
20700160,2007-11-21 00:00:00,HOU,DAL,-1.5,-2.5,193.5,190.0,1.7142857142857144,2.2,-2.0,95.0,L,-6.0
20700159,2007-11-21 00:00:00,MIA,ATL,-7.5,-8.0,190.0,187.5,1.2325581395348837,4.6,-3.0,93.5,L,-3.0
20700164,2007-11-21 00:00:00,NOH,IND,-7.0,-7.5,196.0,199.0,1.3076923076923077,3.75,-4.5,97.0,L,-12.0
20700163,2007-11-21 00:00:00,MEM,TOR,-1.0,-4.0,212.0,211.5,1.5714285714285714,2.55,-4.0,103.5,L,-6.0
20700165,2007-11-21 00:00:00,MIN,CLE,4.5,5.0,193.0,191.5,2.9,1.434782608695652,2.0,96.5,L,-11.0
20700162,2007-11-21 00:00:00,MIL,LAL,0.0,2.0,203.0,208.0,2.15,1.7407407407407407,1.5,103.0,W,7.0
20700161,2007-11-21 00:00:00,DET,NYK,-11.0,-10.5,191.5,192.5,1.125,7.0,-3.0,94.5,W,12.0
20700166,2007-11-21 00:00:00,SAS,ORL,-6.0,-6.0,190.5,187.5,1.3773584905660377,3.25,-6.5,94.5,W,18.0
20700167,2007-11-21 00:00:00,PHX,SAC,-13.0,-14.0,218.5,216.0,1.0625,11.0,-3.0,108.0,W,16.0
20700168,2007-11-21 00:00:00,POR,NJN,-5.0,-3.0,181.0,183.5,1.6451612903225803,2.35,-1.0,95.5,L,-5.0
20700169,2007-11-21 00:00:00,LAC,DEN,3.5,6.5,206.0,204.5,3.6,1.3225806451612905,6.0,98.5,W,11.0
20700170,2007-11-23 00:00:00,WAS,GSW,0.0,2.5,216.5,214.0,2.15,1.7407407407407407,2.0,107.0,L,-8.0
20700171,2007-11-23 00:00:00,ORL,CHA,-9.5,-9.5,195.5,197.5,1.2,5.0,-3.0,98.5,W,13.0
20700172,2007-11-23 00:00:00,BOS,LAL,-7.5,-8.0,202.0,205.0,1.2777777777777777,4.0,1.5,101.0,W,13.0
20700174,2007-11-23 00:00:00,DET,PHI,-10.0,-9.5,186.5,184.0,1.1666666666666667,5.5,-5.5,90.5,W,5.0
20700175,2007-11-23 00:00:00,IND,DAL,7.5,6.5,206.0,207.5,3.8,1.2941176470588236,6.5,103.0,W,4.0
20700173,2007-11-23 00:00:00,MIA,HOU,2.0,3.5,179.5,179.5,2.45,1.606060606060606,2.5,91.5,W,7.0
20700176,2007-11-23 00:00:00,SAS,MEM,-12.0,-12.5,203.5,207.5,1.1111111111111112,7.5,-1.0,101.5,W,13.0
20700177,2007-11-23 00:00:00,DEN,MIN,-13.5,-14.0,203.5,209.0,1.0526315789473684,16.0,-11.0,104.0,W,6.0
20700179,2007-11-23 00:00:00,PHX,LAC,-13.0,-14.5,210.5,211.5,1.0606060606060606,13.5,-9.5,102.0,W,19.0
20700178,2007-11-23 00:00:00,UTA,NOH,-6.0,-6.0,198.0,196.5,1.3333333333333333,3.5,-4.0,95.5,W,28.0
20700180,2007-11-23 00:00:00,POR,SAC,-5.0,-4.5,199.5,204.0,1.5,2.7,-3.5,101.0,W,3.0
20700181,2007-11-23 00:00:00,SEA,NJN,3.0,3.0,195.5,195.5,2.4,1.625,-1.5,99.5,L,-5.0
20700183,2007-11-24 00:00:00,CLE,TOR,-5.5,-4.5,197.0,190.5,1.5,2.7,-5.0,97.0,W,3.0
20700182,2007-11-24 00:00:00,NYK,CHI,3.0,2.5,190.0,185.0,2.2,1.7142857142857144,3.5,90.0,W,7.0
20700185,2007-11-24 00:00:00,CHA,BOS,6.0,7.5,186.0,186.0,3.8,1.303030303030303,7.0,96.5,L,-1.0
20700186,2007-11-24 00:00:00,ORL,MIA,-7.5,-7.0,181.0,188.0,1.3636363636363638,3.35,-1.0,94.0,W,21.0
20700184,2007-11-24 00:00:00,PHI,GSW,2.0,3.5,205.0,206.5,2.45,1.606060606060606,4.0,103.5,L,-2.0
20700188,2007-11-24 00:00:00,MIN,ATL,3.5,4.5,192.0,190.0,2.65,1.5128205128205128,6.0,95.5,L,-7.0
20700187,2007-11-24 00:00:00,MEM,WAS,-6.0,-5.5,216.0,213.0,1.434782608695652,2.9,-5.0,110.0,W,6.0
20700189,2007-11-24 00:00:00,HOU,DEN,-5.0,-6.0,200.5,200.5,1.4,3.1,2.0,96.5,W,28.0
20700190,2007-11-24 00:00:00,MIL,DAL,3.5,4.0,203.0,201.0,2.55,1.5714285714285714,1.5,100.0,W,2.0
20700191,2007-11-24 00:00:00,LAC,NOH,2.0,3.0,188.0,185.0,2.3,1.6666666666666663,0.0,92.5,L,-9.0
20700192,2007-11-25 00:00:00,TOR,CHI,-4.0,-4.5,184.0,185.0,1.4878048780487805,2.75,0.0,92.0,W,15.0
20700194,2007-11-25 00:00:00,DET,UTA,-2.0,1.0,190.0,190.0,2.0,1.8333333333333333,-1.5,97.5,L,-10.0
20700193,2007-11-25 00:00:00,IND,CLE,-2.0,-2.0,201.5,205.0,1.7692307692307692,2.1,-3.5,102.5,L,-5.0
