,GAME_ID,HOMEML,AWAYML,WL_HOME,HOMESPREAD_ATCLOSE,PRED_SPREAD,HWAGER,AWAGER,PRED_ML
1698,21700171,2.35,1.6451612903225803,L,3.0,1.1861011,0.0,0.0,0.4558765
1699,21300816,2.45,1.606060606060606,W,3.5,5.359606,0.0,0.0,0.32899946
1700,21200591,1.1428571428571428,6.0,L,-10.5,-5.7759485,0.0,0.0,0.7427675
1701,20700518,1.8333333333333333,2.0,W,-1.0,-2.8682094,0.0,0.0,0.73026913
1702,21600059,1.0869565217391304,8.5,L,-12.0,-6.616899,0.0,0.0,0.7292821
1703,21000177,1.2,5.0,W,-9.0,1.2088759,0.0,0.0,0.45160958
1704,21600330,2.45,1.606060606060606,L,4.0,-0.34420982,0.0,0.0,0.5974907
1705,40700201,1.16,5.75,W,-10.0,-3.3076074,0.0,0.0,0.63246256
1706,20901116,1.181818181818182,5.25,L,-9.5,-7.695553,0.0,0.0,0.7857322
1707,21900571,1.9090909090909087,1.9090909090909087,W,0.0,-2.905304,0.0,0.0,0.6057173
1708,21801146,1.0909090909090908,8.0,L,-12.5,0.11340385,0.0,0.0,0.6581207
1709,40800404,1.8333333333333333,2.0,L,-1.5,0.5156948,0.0,0.0,0.5105655
1710,21000194,1.1176470588235294,7.25,W,-10.5,-9.254488,0.0,0.0,0.90944386
1711,21800258,1.2222222222222223,4.5,W,-9.0,-8.790574,0.0,0.0,0.7702874
1712,21800299,1.5,2.7,L,-4.5,-3.8722079,0.0,0.0,0.46447778
1713,21000766,1.606060606060606,2.45,L,-3.5,-3.9856777,0.0,0.0,0.717898
1714,21800454,1.5,2.7,W,-4.5,-7.787571,0.0,0.0,0.7815258
1715,20700050,2.15,1.7407407407407407,W,2.0,4.060366,0.0,1.0,0.32189044
1716,21000693,1.2941176470588236,3.8,W,-7.0,-0.20773238,0.0,0.0,0.64397985
1717,20900731,1.5714285714285714,2.55,W,-4.0,-7.119739,0.0,0.0,0.5844672
1718,21800186,1.606060606060606,2.42,L,-3.5,-1.7372148,0.0,0.0,0.5442496
1719,21300216,1.5882352941176472,2.45,W,-4.0,-3.2284086,0.0,0.0,0.8474506
1720,21500948,1.4166666666666667,3.0,W,-5.5,-10.272191,0.0,0.0,0.9110644
1721,21800632,3.75,1.2857142857142856,W,7.5,4.157024,0.0,0.0,0.32332468
1722,21700688,2.25,1.6896551724137931,W,2.5,2.956846,0.0,0.0,0.52026296
1723,21001016,1.0333333333333334,13.0,W,-14.0,-1.6041822,0.0,0.0,0.5783863
1724,21400453,1.2857142857142856,3.9,L,-7.5,-5.4634066,0.0,0.0,0.6424507
1725,21000162,1.5714285714285714,2.55,W,-3.5,-6.806095,0.0,0.0,0.6618682
1726,41700172,1.5882352941176472,2.45,L,-3.5,-5.267973,0.0,0.0,0.6169187
1727,22000002,1.7407407407407407,2.15,L,-2.0,0.9569604,0.0,0.0,0.45823216
1728,20801032,1.05,13.0,W,-14.0,-7.110055,0.0,0.0,0.7351165
1729,21800711,1.625,2.4,W,-3.0,-8.310914,0.0,0.0,0.75650793
1730,21701198,1.0714285714285714,9.0,W,-13.0,-7.544107,0.0,0.0,0.6734899
1731,20900660,1.3448275862068966,3.45,W,-7.0,-1.5597849,0.0,0.0,0.72541386
1732,21100274,3.05,1.392156862745098,L,6.5,-1.9276497,0.0,0.0,0.57020926
1733,22000798,1.526315789473684,2.7,L,-4.5,-0.8420796,0.0,0.0,0.46604964
1734,21200310,2.85,1.4444444444444444,L,5.0,-5.0079794,0.0,0.0,0.585356
1735,20900246,1.0476190476190477,13.8,L,-14.0,-12.535795,0.0,0.0,0.8865186
1736,41600305,5.31,1.1739130434782608,L,9.5,0.3258143,0.0,0.0,0.41026714
1737,21700293,2.05,1.8,L,1.5,-0.81858,0.0,0.0,0.3989387
